libzip 1.7.3-1
licenses 20200427-1
lightdm 1:1.30.0-4
linux 5.10.16.arch1-1
linux-api-headers 5.10.13-1
linux-firmware 20210208.b79d239-1
lirc 1:0.10.1-8
llvm-libs 11.0.1-2
lm_sensors 3.6.0-2
lmdb 0.9.28-1
log4cplus 2.0.5-1
lolcat 100.0.0-2
lshw B.02.19.2-1
lua 5.4.2-1
lua52 5.2.4-5
lua53 5.3.6-1
luajit 2.0.5-3
luit 20201003-1
lvm2 2.03.11-4
lxappearance 0.6.3-4
lxmenu-data 0.1.5-3
lynx 2.8.9-3
lz4 1:1.9.3-1
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.49-1
make 4.3-3
mallard-ducktype 1.0.2-6
man-db 2.9.4-1
mariadb-clients 10.5.8-1
mariadb-libs 10.5.8-1
mbedtls 2.25.0-1
md4c 0.4.7-1
mdadm 4.1-2
media-player-info 24-2
menu-cache 1.1.0-2
mesa 20.3.4-1
meson 0.57.0-1
metis 5.1.0.p10-1
minizip 1:1.2.11-4
mkinitcpio 29-1
mkinitcpio-busybox 1.32.1-2
mlt 6.24.0-1
mobile-broadband-provider-info 20201225-1
mpfr 4.1.0-1
mpg123 1.26.3-2
mpv 1:0.33.0-4
msgpack-c 3.3.0-2
mtdev 1.1.6-1
mujs 1.1.0-1
multitail 6.5.0-1
mypaint-brushes1 1.3.1-1
mysql-python 1.2.5-4
mysql-workbench 8.0.23-2
ncdu 1.15.1-2
ncurses 6.2-1
ndctl 71.1-1
neofetch 7.1.0-2
neomutt 20210205-1
nerd-fonts-source-code-pro 2.1.0-2
nerd-fonts-terminus 2.1.0-4
net-tools 2.10-1
nethogs 0.8.6-1
netpbm 10.73.33-1
nettle 3.7-1
networkmanager 1.28.1dev+16+gdaad4e2fee-1
newsboat 2.22.1-1
ninja 1.10.2-1
nitrogen 1.6.1-3
nmap 7.91-1
node-gyp 7.1.2-1
nodejs 15.8.0-1
notmuch-runtime 0.31-3
npm 6.14.11-1
npth 1.6-3
nspr 4.29-1
nss 3.61-1
ntfs-3g 2017.3.23-5
obs-studio 26.1.2-1
onednn 1.8-1
oniguruma 6.9.6-1
openal 1.21.0-1
opencollada 1:1.6.68-2
opencolorio1 1.1.1-2
opencore-amr 0.1.5-5
openexr 2.5.5-1
openimagedenoise 1.2.4-1
openimageio 2.2.11.1-1
openjpeg2 2.4.0-1
openmpi 4.0.5-2
openshadinglanguage 1.11.11.0-1
openssh 8.4p1-2
openssl 1.1.1.i-2
openssl-1.0 1.0.2.u-1
opensubdiv 3.4.3-4
openvdb 8.0.1-1
openxr 1.0.14-1
opera-ffmpeg-codecs 88.0.4324.150-1
opus 1.3.1-2
orc 0.4.32-1
p11-kit 0.23.22-1
pacman 5.2.2-2
pacman-contrib 1.4.0-1
pacman-mirrorlist 20210214-1
pam 1.5.1-1
pambase 20200721.1-2
pandoc 2.11.3-40
pango 1:1.48.2-1
pangomm 2.46.0-1
parted 3.4-2
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcmanfm 1.3.2-1
pcre 8.44-1
pcre2 10.36-1
pcsclite 1.9.0-1
perl 5.32.1-1
perl-algorithm-diff 1.1903-6
perl-class-method-modifiers 2.12-6
perl-clone 0.45-2
perl-data-optlist 0.110-6
perl-devel-globaldestruction 0.14-6
perl-encode-locale 1.05-7
perl-error 0.17029-2
perl-file-listing 6.14-1
perl-html-parser 3.75-1
perl-html-tagset 3.20-10
perl-http-cookies 6.10-1
perl-http-daemon 6.06-2
perl-http-date 6.05-3
perl-http-message 6.27-1
perl-http-negotiate 6.01-8
perl-import-into 1.002005-6
perl-inc-latest 0.500-7
perl-io-html 1.004-1
perl-libwww 6.52-1
perl-lwp-mediatypes 6.02-8
perl-mailtools 2.21-4
perl-module-build 0.4231-3
perl-module-runtime 0.016-2
perl-moo 2.003006-2
perl-net-http 6.20-1
perl-parallel-forkmanager 2.02-2
perl-params-util 1.102-1
perl-regexp-common 2017060201-3
perl-role-tiny 2.001004-2
perl-sub-exporter 0.987-6
perl-sub-exporter-progressive 0.001013-6
perl-sub-install 0.928-6
perl-sub-quote 2.006003-3
perl-timedate 2.33-2
perl-try-tiny 0.30-5
perl-uri 5.07-1
perl-www-robotrules 6.02-8
perl-xml-parser 2.46-2
php 8.0.2-1
php-amqp 1.10.2-1
php-apache 8.0.2-1
php-gd 8.0.2-1
php-igbinary 3.2.1-2
php-intl 8.0.2-1
php-pgsql 8.0.2-1
php-redis 5.3.3-1
php-sodium 8.0.2-1
php-sqlite 8.0.2-1
php-xsl 8.0.2-1
picom 8.2-1
pinentry 1.1.0-5
pixman 0.40.0-1
pkgconf 1.7.3-1
pkgfile 21-2
polkit 0.118-1
polkit-qt5 0.113.0-2
polybar 3.5.4-1
poppler 21.02.0-1
poppler-data 0.4.10-1
poppler-glib 21.02.0-1
poppler-qt5 21.02.0-1
popt 1.18-1
postgresql-libs 13.2-1
postman-bin 8.0.4-1
potrace 1.16-2
procps-ng 3.3.16-3
proj 6.3.2-1
protobuf 3.12.4-3
psmisc 23.4-1
ptex 2.3.2-2
pugixml 1.11.4-1
purpose 5.79.0-1
pybind11 2.6.2-1
pystring 1.1.3.git1-1
python 3.9.1-2
python-anytree 2.8.0-3
python-appdirs 1.4.4-3
python-argcomplete 1.12.1-1
python-asn1crypto 1.4.0-3
python-astor 0.8.1-3
python-astunparse 1.6.3-3
python-attrs 20.3.0-3
python-babel 2.9.0-1
python-bcrypt 3.2.0-3
python-beaker 1.11.0-6
python-cachecontrol 0.12.6-3
python-cached-property 1.5.2-3
python-cachetools 4.2.1-1
python-cairo 1.20.0-3
python-cffi 1.14.5-1
python-chardet 3.0.4-7
python-click 7.1.2-3
python-colorama 0.4.4-3
python-contextlib2 0.6.0.post1-3
python-cryptography 3.3.1-1
python-distlib 0.3.1-2
python-distro 1.5.0-3
python-docker 4.4.2-1
python-docker-pycreds 0.4.0-7
python-dockerpty 0.4.1-8
python-docopt 0.6.2-9
python-docutils 0.16-4
python-dotenv 0.15.0-3
python-flatbuffers 1.12.0-3
python-gast03 0.3.3-1
python-gobject 3.38.0-3
python-google-api-core 1.26.0-1
python-google-api-python-client 1.12.8-1
python-google-auth 1.26.1-1
python-google-auth-httplib2 0.0.4-3
python-googleapis-common-protos 1.52.0-3
python-greenlet 1.0.0-1
python-h5py 3.1.0-3
python-html5lib 1.1-5
python-httplib2 0.18.1-4
python-idna 2.10-3
python-imagesize 1.2.0-4
python-importlib-metadata 3.4.0-1
python-jinja 2.11.3-1
python-jsonschema 3.2.0-4
python-keras-applications 1.0.8-6
python-keras-preprocessing 1.1.2-4
python-keyutils 0.6-6
python-lxml 4.6.2-1
python-mako 1.1.4-1
python-markdown 3.3.3-3
python-markupsafe 1.1.1-6
python-msgpack 1.0.2-2
python-numpy 1.20.0-1
python-oauth2client 4.1.3-6
python-opt_einsum 3.3.0-3
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-paramiko 2.7.2-3
python-pasta 0.2.0-3
python-pep517 0.9.1-3
python-pillow 8.1.0-1
python-pip 20.3.1-1
python-ply 3.11-7
python-progress 1.5-5
python-protobuf 3.12.4-3
python-psutil 5.8.0-1
python-pyasn1 0.4.8-4
python-pyasn1-modules 0.2.8-3
python-pycparser 2.20-3
python-pygments 2.8.0-1
python-pynacl 1.4.0-3
python-pynvim 0.4.2-2
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pyrsistent 0.17.3-3
python-pytz 2021.1-1
python-requests 2.25.1-1
python-resolvelib 0.5.4-1
python-retrying 1.3.3-9
python-rsa 4.7.1-1
python-setuptools 1:53.0.0-1
python-simplejson 3.17.2-3
python-six 1.15.0-3
python-snowballstemmer 2.1.0-1
